city;area;rooms;bathroom;parking spaces;floor;animal;furniture;hoa (R$);property tax (R$);fire insurance (R$);rent amount (R$)
São Paulo;70;2;1;1;7;acept;furnished;2065;211;42;3300
São Paulo;320;4;4;0;20;acept;not furnished;1200;1750;63;4960
Porto Alegre;80;1;1;1;6;acept;not furnished;1000;0;41;2800
Porto Alegre;51;2;1;0;2;acept;not furnished;270;22;17;1112
São Paulo;25;1;1;0;1;not acept;not furnished;0;25;11;800
São Paulo;376;3;3;7;-;acept;not furnished;0;834;121;8000
Rio de Janeiro;72;2;1;0;7;acept;not furnished;740;85;25;1900
São Paulo;213;4;4;4;4;acept;not furnished;2254;1735;41;3223
São Paulo;152;2;2;1;3;acept;furnished;1000;250;191;15000
Rio de Janeiro;35;1;1;0;2;acept;furnished;590;35;30;2300
São Paulo;26;1;1;0;2;acept;furnished;470;150;27;2100
Campinas;46;1;1;1;10;acept;not furnished;550;43;8;580
São Paulo;36;1;1;0;11;acept;not furnished;359;70;27;2100
São Paulo;55;1;1;1;2;acept;furnished;790;224;54;4200
São Paulo;100;2;2;2;24;acept;furnished;900;17;56;4370
Campinas;330;4;6;6;-;acept;furnished;680;328;121;8000
São Paulo;110;2;2;1;1;acept;not furnished;700;122;39;3000
Rio de Janeiro;88;2;3;1;9;not acept;furnished;1614;221;16;3500
Rio de Janeiro;56;2;1;0;8;acept;not furnished;800;0;16;1220
São Paulo;600;4;5;6;-;acept;not furnished;0;9500;181;12000
São Paulo;100;7;4;0;-;acept;not furnished;0;118;58;3800
Belo Horizonte;42;1;1;1;17;not acept;furnished;470;172;36;2690
São Paulo;160;3;2;2;18;acept;furnished;1530;167;25;1900
São Paulo;35;1;1;0;-;acept;not furnished;0;3;14;1100
Rio de Janeiro;90;3;2;1;7;acept;not furnished;800;118;24;1800
São Paulo;49;1;1;1;10;acept;not furnished;480;42;45;3500
São Paulo;41;1;1;1;5;not acept;furnished;600;0;39;3000
Belo Horizonte;64;2;2;1;11;acept;not furnished;352;80;20;1500
Campinas;208;3;2;4;-;acept;not furnished;0;100;48;3180
São Paulo;20;1;1;0;5;acept;furnished;602;130;23;1800
São Paulo;55;2;2;2;6;acept;not furnished;780;142;14;1068
São Paulo;32;1;1;0;3;acept;not furnished;515;29;22;1700
São Paulo;80;2;2;1;11;acept;not furnished;1208;216;33;2550
Rio de Janeiro;45;1;1;1;10;acept;furnished;2450;593;33;2500
São Paulo;350;4;4;3;8;acept;not furnished;2100;500;51;4000
Porto Alegre;38;1;1;2;11;not acept;not furnished;450;0;26;1750
São Paulo;30;1;1;0;1;acept;not furnished;460;0;21;1600
Belo Horizonte;80;3;2;1;-;acept;not furnished;0;425;181;11000
São Paulo;70;2;1;0;-;not acept;not furnished;0;59;18;1150
Porto Alegre;40;1;1;1;6;acept;furnished;390;0;44;2990
São Paulo;300;4;6;4;20;acept;not furnished;3700;1584;153;12000
São Paulo;240;3;2;3;-;acept;not furnished;0;292;53;3500
Belo Horizonte;200;4;2;1;7;not acept;not furnished;850;9;34;2550
Belo Horizonte;45;1;1;1;5;acept;not furnished;500;192;12;1631
São Paulo;360;4;5;0;1;acept;not furnished;4000;2000;82;6410
São Paulo;40;1;1;1;10;acept;furnished;978;0;33;2829
Belo Horizonte;100;3;1;0;13;not acept;not furnished;700;10;17;1220
Porto Alegre;42;1;1;2;2;acept;furnished;190;17;26;1770
Campinas;250;3;3;2;1;acept;not furnished;2200;256;22;1700
Campinas;48;1;1;1;2;acept;furnished;505;59;21;1600
Rio de Janeiro;90;3;3;1;10;acept;not furnished;1250;147;49;3800
São Paulo;45;1;2;1;15;acept;furnished;856;150;50;3900
Rio de Janeiro;150;2;3;4;6;acept;not furnished;1700;700;52;4000
São Paulo;60;2;1;0;2;acept;not furnished;200;0;19;1445
São Paulo;31;1;1;0;4;acept;not furnished;370;56;30;2350
São Paulo;210;4;5;4;4;not acept;not furnished;1650;772;115;9000
