id_tweet,texto,sentimento
860129634318336000,Ainda gripada porem sigo firme -Sophia Abrahão - O Bom É Que Passa #QueroNoTVZ :),positivo
859217409546350596,@sandroottoni_ Se ninguem entender deixa que a professora Julia ensina :),positivo
860435831298850816,Domingo vai ter set da Skanda sim! e segunda ou terça tem techno :)  w84me,positivo
860948576171634691,Alguém me chama pra sairrrrr :(,negativo
860827774738726913,@McDonalds_BR vcs pararam de servir café por que? :(,negativo
859417768927612928,boa tarde pra vocês :),positivo
860783888251195392,Quando fizer anos também quero atenção no twitter por isso apontem aí 5 de Outubro amigos :) :) &lt;3,positivo
858949106466783232,bar :-( : 2c3da0cf-9d1b-460e-a6fe-cd6a6a439678,negativo
860132063860731906,"@IrvineEddye Engenharia, amigo :)",positivo
860821923210682368,@FTWBhT BOSSPREGOS CARALH! XD GL meus putos! Amanhã dou beijinhos a todos :),positivo
860943230740967429,"hoje que até me apetecia sair, estas 2 n estão cá :)",positivo
860934550561710080,"Mentira, afinal não vou ver :(",negativo
860488919657443328,"Bom dia!!! :) :) Sexta-feira é dia de costela assada, yakisoba, frango karaguê e muito mais!!! &lt;3 #melhoralmoço... https:t.cocey7p5j2pY",positivo
859910015595032578,@CoryMonteith você faz tanta falta :(,negativo
860203043186515969,@cremetroye ah olha tou a estudar :)  n quebrei o pinky,positivo
860638857527799809,Aula amanhã :),positivo
859421558896459776,gente n seria mais fácil dar na cara desse bostinha? :) https:t.cosm0HFqr3z5,positivo
859191021728649216,ela ta tão feliz :-( https:t.cooFkvWy0Z4J,negativo
859351415784910852,Que é conhecida desde o Oriente ao Ocidente :)  I vote for @BTS_twt for the Top Social Artist at #BTSBBMAs https:t.coS7xK1mG6il,positivo
859340372241260544,PROTEU e Ruizinho  Bom dia :) https:t.cojn9H2i6Pnk,positivo
859771536403812352,Queres Fazer Parte Desta Equipa ?  Tens de Estar Neste Evento...  1 Evento da Nossa Equipa :)  Vamos mas Vamos... https:t.cofmqOUXANvQ,positivo
860079585257545728,Hino q só hitou em casa msm :( https:t.codJ5J3HJlCV,negativo
860679575134756864,@silvarafaelyy volta pra cá :(,negativo
858999592872009732,"Bom diiia viajante, mais uma manhã começando! Já conferiu as novidades do blog? Bora lá, compartilhe :) https:t.co08FbK7Gqx4",positivo
860677299921989637,verdade :( https:t.cod2eKbzKu28,negativo
858829880389234688,eu devo muito a ela :(,negativo
859339871479091201,@amandadeolindo_ nunca te bloquearia :),positivo
859106045033156608,@andygalo13 Isso ai! Domingo é confirmar o titulo!!!:),positivo
860467453901639680,Corre que ainda tem vagas em vários módulos! :-) https:t.coBsdimosM7q https:t.coQgSEDNBcBx,positivo
860559908391067648,"Se não te dedicas a construir o teu sonho, foste contratado para construir o sonho de outra pessoa!  Vemo nos lá? :) https:t.coTF1QDrYVi0",positivo
860941081726332928,@raisocana3 @bwo13 @rodrigovenom85 @dn_sony @guinhamansilha @Nicoledrigues @ramomzitos Sim! Já é! Show! Vamos! :),positivo
859866529990676480,@ana_horn @ervinha__ miga meu dente tá doendo mto e eu não tô podendo beber por causa dos remédios :(,negativo
859592642400841729,@looydd queria tanto ver a fada hitando de novo :( vamos rezar pra vir um hit na próxima era https:t.cohaOMbQakNZ,negativo
858794486146760705,"agora só porque eu mudei pro sul e não vou no estádio mais eu não posso torcer pro goiás, paia demais tô triste :( https:t.coWCe9EBe9dS",negativo
860664187500056576,Boa noite :-) https:t.coNYVP33xHsB,positivo
